value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
1.6,02,率,040,未活用労働補助指標1,17,60～64歳,1,男,05,うち卒業,00000,全国,2024000406,2024年4～6月期,％
2.1,02,率,040,未活用労働補助指標1,17,60～64歳,1,男,05,うち卒業,00000,全国,2024000709,2024年7～9月期,％
1.8,02,率,040,未活用労働補助指標1,17,60～64歳,1,男,05,うち卒業,00000,全国,2024001012,2024年10～12月期,％
1.8,02,率,040,未活用労働補助指標1,17,60～64歳,1,男,05,うち卒業,00000,全国,2025000103,2025年1～3月期,％
1.8,02,率,040,未活用労働補助指標1,17,60～64歳,1,男,05,うち卒業,00000,全国,2025000406,2025年4～6月期,％
2.7,02,率,040,未活用労働補助指標1,17,60～64歳,1,男,05,うち卒業,00000,全国,2025000709,2025年7～9月期,％
2.3,02,率,040,未活用労働補助指標1,17,60～64歳,1,男,05,うち卒業,00000,全国,2025001012,2025年10～12月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2018000103,2018年1～3月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2018000406,2018年4～6月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2018000709,2018年7～9月期,％
1.3,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2018001012,2018年10～12月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2019000103,2019年1～3月期,％
1.3,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2019000406,2019年4～6月期,％
0.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2019000709,2019年7～9月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2019001012,2019年10～12月期,％
0.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2020000103,2020年1～3月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2020000406,2020年4～6月期,％
1.7,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2020000709,2020年7～9月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2020001012,2020年10～12月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2021000103,2021年1～3月期,％
1.3,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2021000406,2021年4～6月期,％
1.7,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2021000709,2021年7～9月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2021001012,2021年10～12月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2022000103,2022年1～3月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2022000406,2022年4～6月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2022000709,2022年7～9月期,％
1.6,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2022001012,2022年10～12月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2023000103,2023年1～3月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2023000406,2023年4～6月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2023000709,2023年7～9月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2023001012,2023年10～12月期,％
0.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2024000103,2024年1～3月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2024000406,2024年4～6月期,％
1.1,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2024000709,2024年7～9月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2024001012,2024年10～12月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2025000103,2025年1～3月期,％
1.5,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2025000406,2025年4～6月期,％
1.5,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2025000709,2025年7～9月期,％
1.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,00,総数,00000,全国,2025001012,2025年10～12月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2018000103,2018年1～3月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2018000406,2018年4～6月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2018000709,2018年7～9月期,％
1.3,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2018001012,2018年10～12月期,％
0.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2019000103,2019年1～3月期,％
1.3,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2019000406,2019年4～6月期,％
0.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2019000709,2019年7～9月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2019001012,2019年10～12月期,％
0.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2020000103,2020年1～3月期,％
1.3,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2020000406,2020年4～6月期,％
1.7,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2020000709,2020年7～9月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2020001012,2020年10～12月期,％
0.9,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2021000103,2021年1～3月期,％
1.3,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2021000406,2021年4～6月期,％
1.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2021000709,2021年7～9月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2021001012,2021年10～12月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2022000103,2022年1～3月期,％
1.3,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2022000406,2022年4～6月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2022000709,2022年7～9月期,％
1.6,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2022001012,2022年10～12月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2023000103,2023年1～3月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2023000406,2023年4～6月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2023000709,2023年7～9月期,％
0.8,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2023001012,2023年10～12月期,％
0.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2024000103,2024年1～3月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2024000406,2024年4～6月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2024000709,2024年7～9月期,％
1.2,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2024001012,2024年10～12月期,％
0.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2025000103,2025年1～3月期,％
1.5,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2025000406,2025年4～6月期,％
1.5,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2025000709,2025年7～9月期,％
1.4,02,率,040,未活用労働補助指標1,17,60～64歳,2,女,05,うち卒業,00000,全国,2025001012,2025年10～12月期,％
1.1,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2018000103,2018年1～3月期,％
1.3,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2018000406,2018年4～6月期,％
1.1,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2018000709,2018年7～9月期,％
0.9,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2018001012,2018年10～12月期,％
1.4,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2019000103,2019年1～3月期,％
1.4,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2019000406,2019年4～6月期,％
1.1,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2019000709,2019年7～9月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2019001012,2019年10～12月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2020000103,2020年1～3月期,％
2.1,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2020000406,2020年4～6月期,％
1.4,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2020000709,2020年7～9月期,％
1.6,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2020001012,2020年10～12月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2021000103,2021年1～3月期,％
2.1,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2021000406,2021年4～6月期,％
1.6,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2021000709,2021年7～9月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2021001012,2021年10～12月期,％
1.5,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2022000103,2022年1～3月期,％
1.7,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2022000406,2022年4～6月期,％
1.7,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2022000709,2022年7～9月期,％
1.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2022001012,2022年10～12月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2023000103,2023年1～3月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2023000406,2023年4～6月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2023000709,2023年7～9月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2023001012,2023年10～12月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2024000103,2024年1～3月期,％
2.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2024000406,2024年4～6月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2024000709,2024年7～9月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2024001012,2024年10～12月期,％
1.9,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2025000103,2025年1～3月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2025000406,2025年4～6月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2025000709,2025年7～9月期,％
1.5,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,00,総数,00000,全国,2025001012,2025年10～12月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2018000103,2018年1～3月期,％
1.3,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2018000406,2018年4～6月期,％
1.1,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2018000709,2018年7～9月期,％
0.9,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2018001012,2018年10～12月期,％
1.4,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2019000103,2019年1～3月期,％
1.4,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2019000406,2019年4～6月期,％
0.9,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2019000709,2019年7～9月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2019001012,2019年10～12月期,％
1.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2020000103,2020年1～3月期,％
2.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2020000406,2020年4～6月期,％
1.4,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2020000709,2020年7～9月期,％
1.7,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2020001012,2020年10～12月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2021000103,2021年1～3月期,％
2.2,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2021000406,2021年4～6月期,％
1.7,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2021000709,2021年7～9月期,％
1.8,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2021001012,2021年10～12月期,％
1.6,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2022000103,2022年1～3月期,％
1.8,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2022000406,2022年4～6月期,％
1.8,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2022000709,2022年7～9月期,％
1.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2022001012,2022年10～12月期,％
2.0,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2023000103,2023年1～3月期,％
2.1,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2023000406,2023年4～6月期,％
2.1,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2023000709,2023年7～9月期,％
1.3,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2023001012,2023年10～12月期,％
1.3,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2024000103,2024年1～3月期,％
2.3,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2024000406,2024年4～6月期,％
1.3,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2024000709,2024年7～9月期,％
1.3,02,率,040,未活用労働補助指標1,18,65～69歳,0,総数,05,うち卒業,00000,全国,2024001012,2024年10～12月期,％
